Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Europa Central y del Báltico;CEB;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.415275;;;19.46928;20.524955;20.53181;21.12918;21.074695;19.82809;20.1969;22.40992;23.35568;23.1741;22.015035;20.722375;22.533805;23.07045;22.25324;22.30415;;;;;;;;;
Suiza;CHE;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.04068;25.29324;24.66126;25.29121;26.88653;26.6065;25.46407;25.36203;23.84324;22.80694;28.20173;26.9248;26.2857;25.89147;25.97821;26.41812;26.39044;24.45516;;;;;;;;;;
Islas del Canal;CHI;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.36893;;14.26927;;15.09564;15.48508;13.50403;12.63158;11.6756;12.64539;15.10256;16.47026;15.21726;15.16071;16.45029;15.01836;15.10182;16.63683;18.48666;18.68243;;;;;;;;
China;CHN;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.42726;;;;;;;;;;;;;;;;;;;;;;;;;;
Côte d'Ivoire;CIV;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.35127;;;;;;;;;;;;;;;27.17591;24.16853;22.82275;20.80971;18.84725;;;;;;;
Camerún;CMR;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.94488;36.37686;30.89324;24.11163;26.14003;;17.95408;17.7737;;;;;;;;;;;;;
Congo, República Democrática del;COD;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.53216;;;5.28871;;;;;;;;;;;;
Congo, República del;COG;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.50774;;;;;;;;;;;;;;;;;;;;;;;
Colombia;COL;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.00068;16.04796;12.89406;;;;15.12669;14.4607;;9.91732;14.72197;14.98617;15.0084;14.43288;14.67586;16.23337;16.88747;15.68956;15.63588;17.26919;17.64699;;;;;;;
Comoras;COM;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.23286;;;;;;;;;;;7.28925;8.48165;;;;;;;;;;;
Cabo Verde;CPV;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.66895;;;;19.25197;16.48019;15.67529;14.01267;;15.03213;;16.54934;16.34377;18.65404;19.87578;19.66117;;;;;;;;
Costa Rica;CRI;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.12021;20.3449;21.42331;23.41249;;16.99844;;16.19928;17.03938;17.85923;21.08531;23.13217;23.21991;24.28474;24.47234;23.93812;25.12593;24.03879;24.67935;21.14089;;;;;;;
Estados pequeos del Caribe;CSS;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.13297;41.19862;40.58853;44.06536;;44.23533;47.773;42.70407;53.50966;53.62812;50.73605;51.85674;;;;;;;;;;;;;;;
Curacao;CUW;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.93856;;;;;;;;;;;;
Islas Caimán;CYM;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.71134;23.93685;;;;;;;;;;;;;;;;;;;
Chipre;CYP;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.27326;27.34898;28.15135;31.00717;33.95926;31.40003;32.41409;32.20445;32.53328;34.58471;37.3322;36.8753;37.82297;;38.33015;37.24;39.39051;39.29112;;;;;;;;;
República Checa;CZE;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.86689;20.09986;19.44741;19.2471;20.59708;21.30214;21.12918;20.9006;21.09548;20.1969;20.79512;23.27179;23.26577;23.84082;24.1497;23.74451;23.53828;23.6677;22.30415;;;;;;;;;
Alemania;DEU;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.10304;;;;;;;;20.29257;21.09132;21.07791;23.85787;23.88146;22.84118;23.04534;23.18698;23.19245;23.00137;22.95939;;;;;;;;;
Djibouti;DJI;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.06575;;;;;;;1.03886;0.72783;;;;;;;;;
Dominica;DMA;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.50769;14.92578;13.82207;15.21551;;;;;18.77678;;;;;;;;;;
Dinamarca;DNK;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.16651;37.26457;37.21646;33.88395;34.84693;33.90776;34.44315;34.25592;33.52992;31.34546;30.44643;31.87939;32.50974;29.22918;27.67433;27.91977;31.13589;;;;;;;;;;;
República Dominicana;DOM;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.13181;4.59898;;3.7282;5.88323;6.76881;6.31194;6.51963;7.9353;13.70653;13.64495;14.26615;14.91552;18.7182;15.09618;;;;;;;
Argelia;DZA;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0622;17.36465;;17.8263;17.85554;;;;;;;;;;;;;;;;;;;;;;
Asia oriental y el Pacífico (excluido altos ingresos);EAP;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inicial del dividendo demográfico;EAR;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia oriental y el Pacífico;EAS;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central (excluido altos ingresos);ECA;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central;ECS;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.34073;23.79821;;;22.93953;25.76982;28.30466;27.21625;25.89151;25.26151;23.462365;23.656035;23.00137;23.02147;;;;;;;;;
Ecuador;ECU;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.32021;5.38598;;;;;;;;;4.38387;4.26581;4.5863;4.45934;5.08401;4.94326;5.07928;5.2853;;;;;;;;;
Egipto, República Árabe de;EGY;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.79696;;;;;;;;
Zona del Euro;EMU;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.27547;24.93597;23.045015;24.30857;24.62165;24.32286;24.89156;24.221935;24.58835;23.70022;26.29943;28.70418;28.074085;26.962405;25.94711;24.52636;24.436335;23.262015;23.031085;;;;;;;;;
Eritrea;ERI;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.28252;20.27257;;9.30658;;;;;;;;;;;;;;;;;;;;;
España;ESP;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.87749;24.05752;22.833;22.10772;22.83037;23.18286;23.213;22.88599;23.46748;23.70022;25.37782;27.61234;26.05485;25.89151;21.01442;18.50276;18.22419;18.49989;18.88163;;;;;;;;;
Estonia;EST;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.27547;27.3503;;25.1553;25.05491;26.16631;24.89156;23.04911;;22.93953;28.77094;32.12687;30.97741;26.74646;27.10011;23.20386;23.77379;22.25324;21.17125;;;;;;;;;
Etiopía;ETH;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.97527;22.79132;27.09463;25.76063;;;16.76439;;;;;;;;;;
Unión Europea;EUU;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.10304;24.8775;23.045015;24.074525;24.05205;23.75286;23.134615;22.88599;22.87955;22.90471;25.76982;28.141645;27.67082;25.89151;24.41199;23.73269;23.656035;23.00137;23.02147;;;;;;;;;
Frágiles y situaciones de conflicto afectados;FCS;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlandia;FIN;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.93597;23.22704;24.30857;25.32816;25.99888;31.06666;30.83827;30.50341;29.59148;30.83062;34.36908;34.8965;34.70223;25.94711;26.1282;26.07076;25.80386;24.75238;;;;;;;;;
Fiji;FJI;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.11045;;;;;;;5.69328;;;;;;;;;;;;;;
Francia;FRA;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.8291;28.40943;;;29.88208;29.29764;27.22036;27.19799;26.61552;27.04691;28.70418;28.38317;27.17835;26.82868;26.72217;26.78417;26.46082;26.28009;;;;;;;;;
Islas Feroe;FRO;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia (Estados Federados de);FSM;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gabón;GAB;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reino Unido;GBR;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.65895;21.09702;21.87505;21.94317;23.63757;25.01142;23.79821;23.47328;24.47537;25.57833;26.49489;28.43834;31.19587;29.46259;;22.60496;22.87626;23.05669;21.18688;;;;;;;;;
Georgia;GEO;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.6017;;;;;;;;;;;;;;;;;
Ghana;GHA;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.59106;;;42.85671;38.42101;30.15745;27.285;26.73242;26.9648;;26.31798;39.08224;19.33164;19.96045;;;;;;;;;;;
Gibraltar;GIB;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.05917;;;8.01316;6.82725;;8.24883;;;;;;;;;;;
Gambia;GMB;Gasto por alumno, nivel secundario (% del PIB per cápita);SE.XPD.SECO.PC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.79477;13.0628;14.01971;;;;;;;;;;;;;;;
