Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Dinamarca;DNK;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
República Dominicana;DOM;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;;;9;;;;19.85296;;;3.854917;;15.7139390262961;;;;;;;;;;;
Argelia;DZA;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.46683524603521;;;;;;;;;;;;
Asia oriental y el Pacífico (excluido altos ingresos);EAP;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inicial del dividendo demográfico;EAR;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia oriental y el Pacífico;EAS;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central (excluido altos ingresos);ECA;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central;ECS;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;ECU;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.6;;16.9;;;7.4;;3.8;;;;5.911136;;;;;;;;;;
Egipto, República Árabe de;EGY;Niños económicamente activos, varones (% de niños entre los 7 y 14 años de edad);SL.TLF.0714.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.5;;;;4.8;;;;;;;;;;;;;;;;
