country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban
KIR,2023,99.2423243476076,16.39053,97.3655383941286,94.7441990494828,925.0,622.0,9.0,105.818181818182,9.0,2177.70125812262,163.617283950617,8.70356056522546,25.813,-0.872788194100486,50992.0,39.7,95.9,94.3,88.9
KNA,2023,90.29997253417967,3.49726171629099,121.118748518606,137.513208876365,235.0,123.0,12.0,124.306688417618,12.0,22576.9248439166,179.838461538462,4.40820443649315,11.745,-0.0219171220565196,31935.0,14.3,100.0,100.0,100.0
KOR,2023,97.7481819282672,5.81446981430054,100.301467895508,96.2983932495117,15928.0,13881.0,12.0,98.2711029052734,9.0,35674.095995632,529.842407786885,2.03849717899953,4.5,0.0665395774038612,9740302.0,2.3,100.0,100.0,100.0
KWT,2023,61.79999923706055,5.0262608311279,82.3634126791806,95.3934020996094,2740.0,18443.0,12.0,80.4330430689574,9.0,34075.849012909,272.358024691358,-8.06536069344132,10.3028486127809,-146.755090669282,0.0,7.6,100.0,100.0,100.0
LAO,2023,63.75085830688477,1.23375160355741,95.0382534939216,54.4330611689851,37585.0,36341.0,9.0,88.83898879882,9.0,2066.94979776957,33.2105415944541,24.4217202066693,21.271,0.192320391711469,4690438.0,35.2,96.5,95.2,98.6
LBN,2023,86.2343562199185,1.50416361108086,78.2026874196176,62.8279212477627,84464.0,87574.0,9.0,67.2665475619853,10.0,3477.72489842684,564.368817204301,202.907703485723,16.144,-2.04114187324461,551230.0,16.0,100.0,100.0,100.0
LBR,2023,47.48374176025391,2.2665256232687,66.5939255094706,37.7416801452637,157569.0,169711.0,6.0,57.8457350008007,6.0,799.194470229642,57.0289763289037,4.8121348688661,30.96,1.01382706691086,2471981.0,52.6,32.5,9.3,52.7
LBY,2023,90.29997253417967,2.26416993141174,106.998237609863,97.6095123291016,16378.0,13957.0,12.0,90.0708465576172,9.0,6026.51518708812,4.15202780272117,-7.62199522874144,17.024,0.994025828630175,886562.0,15.9,73.2,0.8,100.0
LCA,2023,98.5356903076172,2.74212002754211,101.370978688747,88.6818771362305,138.0,166.0,10.0,91.066276550293,10.0,13554.7684784933,293.909836065574,1.49011520385767,11.262,0.281238737899275,127117.0,14.3,100.0,100.0,100.0
LIE,2023,96.66999816894533,2.55604004859924,102.110137939453,118.726867675781,17.0,27.0,13.0,88.9411773681641,10.0,206780.590353385,249.0625,-9.90066262743474,9.1,0.904154605279567,33997.0,13.3,100.0,100.0,100.0
LKA,2023,87.289908426463,1.82774571561927,91.4511421235026,87.9534065332114,72506.0010986328,84993.3328369142,13.0,94.542850980354,11.0,3798.89016573011,356.239896540576,16.6674742441681,11.2,-0.848667406502792,17597528.0,5.3,100.0,100.0,100.0
LSO,2023,58.23323059082031,7.29011355590957,81.6412239707352,59.3586515505342,57586.0,59728.0,7.0,66.9579010009766,7.0,916.282976983803,76.135441370224,-0.368097869054722,24.109,-0.639546095767785,1324978.0,55.4,57.3,45.2,85.0
LTU,2023,99.3816711554173,4.25285005569458,102.679946899414,105.428817749023,610.0,17.0,12.0,105.190582275391,10.0,27786.0057829276,45.87196485623,9.0217556386887,7.2,0.486006496537612,902383.0,2.8,100.0,100.0,100.0
LUX,2023,98.2765808369639,3.70599007606506,99.0644607543945,107.744010925293,85.0,169.0,13.0,77.4978485107422,10.0,133230.619178899,258.862052624628,6.91074927081021,9.5,1.23435051085388,34644.0,2.0,100.0,100.0,100.0
LVA,2023,99.5909947676685,4.31920003890991,98.4666366577148,102.126243591309,978.0,1449.0,12.0,97.5514907836914,9.0,22710.2637544197,30.1694520327816,10.6724737437668,7.7,-0.090558146191606,596032.0,2.5,100.0,100.0,100.0
MAC,2023,89.83000183105469,3.50183010101318,86.4246575342466,92.5810397553517,2717.0,3504.0,12.0,89.5238095238095,9.0,67216.3631112124,20569.696969697,4.37730030836568,5.5,-120.397280432594,0.0,13.3,100.0,100.0,100.0
MAR,2023,53.35200119018555,6.02096928801329,117.598816130003,87.7346312462207,55174.0,71553.0,9.0,104.762394206542,9.0,3813.72607421875,84.5003473000224,7.05168019026993,16.701,0.589136807810906,14076664.0,15.5,100.0,100.0,100.0
MCO,2023,90.29997253417967,1.73223996162415,142.419937133789,153.586303710938,15227.0,15910.06148859165,12.0,152.941177368164,11.0,256799.788612806,18692.8982725528,4.99251887813831,9.441,0.40070969686677604,0.0,2.3,100.0,100.0,100.0
MDA,2023,99.5303635443852,6.62547016143799,106.673559179739,97.8896863952854,5680.0,6010.0,12.0,109.128332462101,9.0,6799.58594644576,85.437584732506,9.27782417179883,10.755,-3.88347073722965,1400907.0,13.5,100.0,100.0,100.0
MDG,2023,41.19292068481445,3.04770386693564,130.599039642521,34.1320359801924,78735.0,173136.0,12.0,58.3078522383415,5.0,508.718427705591,53.6196837401169,7.46514940429932,32.095,1.81699300823338,21219490.0,44.2,39.4,14.6,75.6
MDV,2023,62.98234939575195,5.16706374664829,100.477973568282,79.3565296847573,380.0,2709.0,12.0,94.6013185719617,10.0,12587.6126038651,1765.08053691275,2.13856376038547,11.018,-0.399000110879953,307656.0,5.0,100.0,100.0,100.0
MEX,2023,85.7091589949589,4.0658597946167,101.420753479004,102.055458068848,15227.0,15910.06148859165,12.0,103.764976501465,12.0,13860.9597809326,66.7402757272564,4.65385406168295,15.706,-0.452939179283092,26631040.0,10.8,99.7,99.1,100.0
MHL,2023,92.6133977320453,7.70088005065918,107.109965783596,89.5519894011742,108.999940872192,343.000060081481,12.0,101.136364184382,12.0,6793.24495895856,215.705555555556,7.32176533056624,21.137,-4.88921754927773,8402.0,23.5,100.0,100.0,100.0
MKD,2023,94.8307058800312,3.30014991760254,96.3131713867188,90.0724868774414,1869.0,2282.0,13.0,95.7642974853516,13.0,8674.35846327485,72.474861221253,7.88239994188258,9.2,-1.00125072418917,689967.0,2.8,100.0,100.0,100.0
MLI,2023,14.47292995452881,4.18465094218116,72.7972336510107,38.9389470920545,653474.0,533418.0,12.0,48.4277284647973,9.0,1043.9533853528,19.4798572353486,2.22380071498729,40.029,2.10583651182287,16399940.0,57.6,54.5,22.7,91.5
MLT,2023,99.7907540420735,4.71973991394043,97.7078399658203,103.027229309082,358.0,380.0,13.0,97.1002807617188,11.0,40905.8059585057,1727.334375,5.16605710120075,8.1,3.37874241094705,24170.0,4.8,100.0,100.0,100.0
MMR,2023,63.47000122070313,1.99976003170013,120.214569091797,77.0191497802734,13676.0,65562.0,5.0,105.356811523438,5.0,1233.19666209269,82.9420656687147,10.7876664463339,16.696,0.596981028068021,37686829.0,34.1,76.8,68.8,94.6
MNE,2023,98.5771139453893,4.071789635643736,106.109619140625,93.8724975585938,339.0,134.0,13.0,106.734153747559,9.0,12259.8775034436,46.3590334572491,11.6812783259558,11.2,-0.217613805285422,215285.0,2.1,100.0,100.0,100.0
MNG,2023,96.046630859375,3.65764999389648,93.0654411114222,96.8181201904352,12854.0006103516,18924.9937744141,12.0,94.1179581006374,12.0,5838.63108083902,2.23365125312889,21.7690280161027,19.0,-0.846521860099244,1028802.0,11.4,100.0,100.0,100.0
MOZ,2023,32.09288024902344,5.97607342054314,119.162225223393,37.2411918640137,136850.0,57562.0,12.0,72.3655686845574,0.0,622.000297682823,42.7721457819375,5.09031107461925,37.486,1.9301156790035,21622370.0,45.4,36.0,8.9,78.9
MRT,2023,32.24496078491211,4.71521997451782,104.015072968957,36.0277030077074,88525.0,107394.0,13.0,73.4478403637282,9.0,2135.78187606359,4.87284466867178,3.80594628053802,34.423,0.751832698868294,2023328.0,31.0,50.3,0.8,93.5
MUS,2023,95.7546822428759,4.56763982772827,110.911583276217,89.5019998431496,527.0,872.0,13.0,90.1701715550636,12.0,11269.9684462139,631.467701552329,6.13443001288971,10.2,-1.11167094679098,761625.0,13.5,100.0,100.0,100.0
MWI,2023,46.8388786315918,2.74888371105811,135.974440781822,36.644092994481,17443.0,57701.0,8.0,68.3633913523696,8.0,633.214767978695,223.84898175647,29.0332878003869,31.381,2.25836277878351,17522023.0,29.4,15.6,6.1,57.8
MYS,2023,94.79000091552734,3.51480007171631,91.5021106685076,79.4472788704033,126620.0,182367.0,11.0,91.8132677411604,6.0,11386.0395636528,106.913096941105,-1.84898373559957,12.412,-0.738780274220998,8274535.0,6.8,100.0,100.0,100.0
NAM,2023,98.93000030517578,9.3919470845238,119.460955801452,81.6173009252032,2299.9977722168,4618.99911499023,7.0,97.3974508909998,7.0,4187.60500396525,3.59909023551847,6.5988782251116,25.89,1.66289095130108,1482893.0,38.4,56.7,34.1,75.0
NCL,2023,90.29997253417967,4.071789635643736,116.012268066406,94.0259017944336,709.0,700.0,12.0,92.5490188598633,0.0,33701.8923322781,15.8572210065646,-3.97086700588645,14.262,0.397670243823038,93479.0,13.3,100.0,100.0,100.0
NER,2023,17.4775011723262,4.07412707618114,66.8804779933272,21.5605140503495,913575.0,866250.0,12.0,45.7957488996882,0.0,638.336080897887,20.6519831057077,3.48830909519184,41.892,2.96294297605029,21516311.0,67.4,20.1,10.4,67.4
NGA,2023,65.31773376464844,0.319069049792343,89.5871124267578,46.8931503295898,4683208.0,4387494.0,9.0,70.164909362793,9.0,2138.76383719983,250.20910328623,10.822580640136,32.954,0.0005116173004255,86197462.0,60.1,61.2,32.9,85.0
NIC,2023,57.5,2.86578989028931,109.536392211914,70.1749572753906,25719.0,27762.0,11.0,81.7195205688477,6.0,2609.44492072931,56.702783779292,10.781773656599,19.376,1.05497084061104,2789145.0,10.3,88.3,71.0,100.0
NLD,2023,97.3239441916378,5.17918014526367,104.15657043457,137.514724731445,1931.0,3767.0,12.0,94.6245816835048,12.0,63515.6030780019,530.950905850906,6.30210666993382,9.2,-5.95747925574171,836261.0,3.5,100.0,100.0,100.0
NOR,2023,99.680658116242,5.45586013793945,98.6104431152344,117.775093078613,3033.0,2792.0,10.0,98.9264831542969,10.0,87497.2179649556,15.1524803030719,-11.0768034229592,9.4,0.458364327800383,934366.0,1.9,100.0,100.0,100.0
NPL,2023,46.34952926635742,3.95641148036706,126.553677663081,89.8898815141438,482171.0,285940.0,12.0,116.979633773629,8.0,1382.33055769304,207.147638646669,5.74902859335131,19.34,-0.796739875270438,9934840.0,23.3,94.0,93.4,96.0
NRU,2023,94.17989349365234,5.67543983459473,109.898342073993,90.1002502441406,25.0,67.0,12.0,118.296529345651,12.0,12752.4723855838,593.75,6.39880952380945,25.505,0.40070969686677604,0.0,8.3,100.0,100.0,100.0
NZL,2023,90.29997253417967,5.27568006515503,96.8670501708984,113.395988464355,4241.0,4757.0,13.0,94.6245816835048,10.0,49075.9562832927,19.9194865367817,4.14984857819299,10.86,2.08320387513405,837725.0,4.0,100.0,100.0,100.0
OMN,2023,98.44000244140624,4.30123996734619,89.2455714414171,91.9645458184777,19469.0,21136.0,12.0,86.5904581737646,10.0,21027.7384778886,16.3142778675283,-4.69581133703699,16.847,8.71133469174027,1031551.0,8.4,100.0,100.0,100.0
PAK,2023,49.22293090820313,1.94658005237579,81.3796346128751,42.2911451386891,4710783.00585938,3678690.31835938,12.0,68.6482822316824,12.0,1360.32417758419,321.067474833956,26.0156920088641,27.806,0.823853804704383,151425264.0,50.1,95.6,92.8,100.0
PAN,2023,89.2,2.47225999832153,95.2033935877376,76.5998992919922,19429.0,21941.0,12.0,93.2789665970772,9.0,18797.1933994045,60.1072930709086,2.25974916163428,16.029,1.19491936575184,1522215.0,10.6,97.0,90.7,100.0
PER,2023,75.8,4.23516988754272,113.900588989258,111.395393371582,39928.0,30543.0,11.0,94.9881591796875,11.0,7887.54185920108,26.44188828125,6.3353956438818,15.944,-1.58847574161029,5150956.0,13.5,96.2,85.1,99.0
PHL,2023,85.70641326904297,3.6236863467978,92.4462107015215,91.5493424610693,804214.0,666580.0,12.0,77.2485372465695,12.0,3804.08274131097,385.321122178623,4.60143307078241,16.019,0.0683965199309206,51558262.0,22.1,98.0,97.6,98.4
PLW,2023,96.060606060606,3.52595777106229,100.718907260963,97.286012526096,56.0,58.0,12.0,93.8271604938272,12.0,15610.8231931032,38.5369565217391,11.0352090814888,10.897,-0.351114472801599,3696.0,19.1,100.0,100.0,100.0
PNG,2023,62.5566048669912,0.782122804685732,121.090488343548,52.0929750873194,24839.428004859,16604.1229771833,12.0,82.7478003932096,0.0,2966.06830432055,22.9422669257607,-4.3417792130993,24.576,1.43238344964751,8825153.0,32.0,20.5,13.4,65.2
POL,2023,99.6761439153944,4.31372976303101,105.397079467773,108.386131286621,11415.0,12442.0,12.0,103.98380279541,8.0,22145.2660647429,119.787615502661,9.86569270234997,7.4,-0.501195541796212,14716781.0,3.7,100.0,100.0,100.0
PRI,2023,94.32331085205078,4.26898753959873,88.0846710205078,110.409713745117,9967.0,12207.0,12.0,70.1681594848633,12.0,36980.7884784287,361.194137542277,3.31567322527798,5.8,-1.6418303054626,186543.0,13.3,100.0,100.0,100.0
PRT,2023,95.1277395473967,4.55159997940063,110.98851776123,120.347076416016,3626.0,2168.0,12.0,104.516647338867,12.0,27634.6183139773,115.475189289738,7.4876480834025,8.1,1.16586147607383,4103817.0,2.6,100.0,100.0,100.0
PRY,2023,79.7,3.40649008750915,90.3532686843589,79.7518585422984,46316.0,50967.0,12.0,90.271367469734,12.0,6299.99026533713,17.282671943072,2.17499450135428,19.985,-1.04987417843905,2097963.0,15.1,99.8,99.5,100.0
PSE,2023,95.87999725341795,5.43442010879517,91.4422361153306,89.1210984011759,27289.0,26504.0,12.0,91.1695163220973,10.0,3455.02852911712,857.390041493776,-2.42974331682846,27.062,0.422602055870789,678902.0,14.3,100.0,100.0,100.0
QAT,2023,90.47000122070312,3.2336699962616,94.1971279001544,102.968360766419,6071.0,7867.0,12.0,94.6478447950479,12.0,81816.9797967481,231.160313315927,-9.20463307984075,9.908,-5.4205497518785,19030.0,4.9,100.0,100.0,100.0
ROU,2023,98.9514481926966,3.2788200378418,84.946662902832,81.6316070556641,78616.0,81630.0,13.0,80.9689483642578,10.0,18244.4186876321,82.8384866133519,12.3522995042078,8.0,0.0636310997614743,9117940.0,5.4,100.0,100.0,100.0
RUS,2023,100.0,4.16454853394225,97.7462041476013,92.4840470838527,78377.0,109598.0,11.0,100.024342021158,11.0,14159.3876953125,8.78227219242749,7.99857099742052,8.6,-0.787620647855074,35984572.0,3.7,100.0,100.0,100.0
RWA,2023,43.86999893188477,4.92004013061523,151.894816720753,45.1251505756161,75157.0,75088.0,9.0,59.3042433145261,6.0,1027.03446826565,565.645358735306,11.9488360924784,28.348,0.698983909560196,9927834.0,30.5,63.9,57.9,99.9
SAU,2023,92.4906855823514,5.11466979980469,102.13902539092,122.158039993668,42597.0,50270.0,12.0,119.840624867605,9.0,36156.848337701,15.6779493787476,-2.18444626235993,16.415,3.61632425207261,5292596.0,4.9,100.0,100.0,100.0
SDN,2023,37.83794021606445,2.02213001251221,72.3981094360352,43.5378608703613,1497615.0,1671741.0,11.0,60.1234397888184,8.0,797.283447265625,26.7895026766595,29.6896698556388,33.612,1.21153022134369,32629898.0,39.2,66.0,54.0,87.0
SEN,2023,25.80331993103027,6.16277045366329,85.4523658596434,44.0673682244069,195212.0,463457.0,10.0,61.5314165000969,11.0,1698.03387300843,93.8948371682335,3.05250609372929,29.423,-0.346864174008869,8189280.0,30.2,74.2,56.5,96.1
SGP,2023,89.73999786376953,2.14826011657715,100.245139192048,103.082801906213,287.0,217.0,12.0,96.8465629805147,6.0,85412.230345235,8241.8495821727,-5.0186426400397,7.4,0.40070969686677604,0.0,1.7,100.0,100.0,100.0
SLB,2023,90.29997253417967,8.29349080062944,80.2544791015835,49.0498504638672,18954.0006332397,19755.9984512329,12.0,66.4970071601133,0.0,1882.64394148042,28.581814933905,2.54749432932826,26.935,1.46043148119691,559932.0,16.5,81.3,81.3,81.2
SLE,2023,33.5340690612793,2.62455277942046,159.416853770084,86.9079513549805,13192.0,20233.0,9.0,100.377198108697,9.0,758.329137378248,117.214075921308,29.2602264523414,30.601,1.21675338933803,4669414.0,56.2,35.5,19.0,56.3
SLV,2023,64.54000091552734,3.17218995094299,90.8837213469188,65.5709865566541,42426.0,53487.0,12.0,80.8345580048987,9.0,5365.44491399171,304.518532818533,2.59374849301966,15.758,-1.33592949991733,1602135.0,9.2,98.3,96.6,99.4
SMR,2023,98.9000015258789,2.89753007888794,95.1203643461288,60.7940446650124,44.0,60.0,13.0,96.1165048543689,10.0,59879.7173015651,564.333333333333,7.35542673385122,5.6,-0.308483535121015,971.0,1.4,100.0,100.0,100.0
SOM,2023,15.5,8.14262404011e-06,20.9155502319336,3.34785008430481,414337.0,388894.0,12.0,94.6245816835048,8.0,596.885985135589,29.2642187649441,4.60447420707497,42.964,1.84504528281139,8431847.0,67.8,50.3,23.9,79.0
SRB,2023,98.7419462491062,3.40377998352051,96.6279678344727,91.9540023803711,4876.0,5549.0,12.0,96.0487213134766,8.0,12281.707946167,78.7630277084077,13.9302963711276,9.2,-1.25854477000111,2507308.0,4.5,100.0,100.0,100.0
SSD,2023,63.02999877929688,1.56539228959694,70.3178024291992,11.5348100662231,613714.0,540931.0,8.0,28.6641292572021,8.0,1080.14718624765,18.1719082809805,17.6893321393151,28.59,3.73060290821405,9063394.0,72.6,5.4,1.8,19.1
STP,2023,88.0199966430664,5.0288576428727,110.377998352051,90.4435729980469,627.0,342.0,6.0,85.1492385864258,6.0,2990.6606143535,240.490625,23.7460585524367,28.185,1.25922293613333,72483.0,9.4,81.3,69.6,81.9
SUR,2023,79.30552673339844,2.86623341491363,64.1794204711914,76.1109237670898,4385.84364761383,1732.73147299868,6.0,75.2395629882812,6.0,5521.97602122638,3.91810706046897,33.0999644008231,17.298,1.33035510267,215354.0,15.2,99.6,98.8,100.0
SVK,2023,99.8288698830934,4.65508985519409,103.090553283691,92.6436767578125,1370.0,1519.0,13.0,100.707176208496,10.0,24614.8734642794,112.868968386023,10.0245901807717,9.0,-0.0934524162109645,2540213.0,5.1,100.0,100.0,100.0
SVN,2023,99.7987780463134,5.28065013885498,100.884101867676,107.626876831055,853.0,1051.0,13.0,97.4238586425781,9.0,32660.4753581346,105.31480791676,9.98912481634724,8.0,-0.0528073255394215,942802.0,1.8,100.0,100.0,100.0
SWE,2023,100.0,7.31909990310669,115.019523620605,134.244293212891,1494.0,1716.0,12.0,99.6335906982422,9.0,54950.2834725622,25.8713678886243,5.83406618538046,9.5,-1.50742217962508,1197887.0,2.0,100.0,100.0,100.0
SWZ,2023,70.76956176757812,5.00431592836751,116.527002594136,88.2913589477539,4410.0,2865.0,7.0,93.6081152424768,7.0,3755.52111232464,71.5410465116279,6.05369047880271,24.073,0.393132656683733,912935.0,43.5,86.4,84.9,91.0
SXM,2023,90.29997253417967,3.92363832601723,135.070755004883,111.371100164204,15227.0,15910.06148859165,11.0,128.893442622951,11.0,39451.8223361963,1257.32352941176,2.02312138728324,9.126,0.40070969686677604,0.0,13.3,100.0,100.0,100.0
SYC,2023,97.5073350753747,4.45409960547034,97.1359174172655,74.2514404458298,214.0,115.0,11.0,94.0462427745665,11.0,18262.7115849287,260.376086956522,4.08934911219852,13.0,-0.426407523227962,65759.0,13.1,100.0,100.0,100.0
SYR,2023,67.48999786376953,5.13013982772827,76.7710494995117,39.4672088623047,359030.0,386144.0,12.0,60.1276588439941,9.0,1051.67149587463,128.490023416653,112.14365352308,22.107,6.5308138336874,6567002.0,19.0,88.4,72.8,100.0
TCA,2023,96.1295928955078,2.68765461969981,124.371236273468,109.841759938248,201.0,44.0,11.0,111.400001525879,11.0,35470.2151608295,48.6294736842105,0.466757158704098,10.738,-3.1258032113867,2803.0,4.0,100.0,100.0,100.0
TCD,2023,18.63986968994141,3.20149725837724,88.3436578594334,24.1941648001316,547558.0,346252.0,10.0,41.849262823527,10.0,949.333453674592,15.342331639136,-3.79374736446792,42.396,3.80730784495982,14232250.0,58.7,12.0,0.4,48.1
TGO,2023,43.72917175292969,4.14281885166484,116.335465545392,63.4192515229188,31015.0,18194.0,5.0,87.3158245775118,10.0,1055.01727877926,171.067052767053,3.9628497528372,31.142,1.42753844264626,5280241.0,35.9,59.2,30.5,95.0
THA,2023,74.8295899523026,2.52122219628772,102.574975655738,93.3356315272258,215723.0,205246.0,12.0,102.096899824548,9.0,7195.10130919449,140.348088629646,1.27492169842496,8.245,-3.05105000564566,28011135.0,8.0,100.0,100.0,100.0
TJK,2023,95.75018310546876,5.43682120015444,96.9759265270236,88.4022015902249,26358.0,7060.0,11.0,91.5831604003906,9.0,1178.47990060249,74.8598530153469,3.74356638768383,26.124,2.02719991045075,7668813.0,22.9,100.0,100.0,100.0
TKM,2023,99.69000244140624,2.71291995048523,97.341891416249,102.546752929688,8836.0,8458.0,12.0,97.7541266259286,12.0,6231.91323839698,15.6713510522844,-3.2837127112537,21.74,1.82332642909692,3898153.0,31.2,100.0,100.0,100.0
TLS,2023,97.9800033569336,5.24052834781801,119.652693100113,84.7410404382553,4375.0,8710.0,9.0,93.210472040185,9.0,1502.41147438211,93.0925353059852,-20.8217881959754,22.077,1.0752195698376,988443.0,35.9,100.0,100.0,100.0
TON,2023,97.7388994238874,5.31016278046634,109.611591048228,91.8606656320055,15227.0,15910.06148859165,8.0,102.558139534884,13.0,5651.59373063157,145.273611111111,7.42659746643895,23.117,-0.425877502357244,82477.0,8.0,100.0,100.0,100.0
TTO,2023,99.3490607734806,3.01114988327026,99.1887588500977,92.9377899169922,18243.0,19862.0,12.0,91.5974807739258,7.0,18308.4536298575,266.571150097466,-12.9851733536177,10.708,0.111069014824153,629688.0,17.2,98.7,98.0,99.3
TUN,2023,56.62179946899414,6.73398856321206,104.424217224121,90.3264236450195,2882.0,11133.0,11.0,93.6258392333984,9.0,3951.11683376921,78.530065653965,7.18154722475788,13.748,-0.393468507618305,3656876.0,10.6,100.0,100.0,100.0
TUR,2023,86.2253516011685,3.09572005271912,102.487701416016,116.040176391602,12296.0,23713.0,12.0,101.500511169434,12.0,13375.0947282864,110.866214934449,68.2797569244827,11.2,0.55472031193315,9367217.0,9.1,100.0,100.0,100.0
TUV,2023,93.2548828125,12.8456897735596,108.909370199693,93.2753164556962,58.0,59.0,13.0,106.930693069307,9.0,6344.7750188689,327.2,6.0040987048763,23.075,-3.69537810405051,3533.0,17.1,100.0,100.0,100.0
TZA,2023,67.1932373046875,3.25853222146531,95.6409804093201,28.231330871582,684198.0,997845.0,13.0,89.3124694824219,7.0,1224.00219726563,75.2061481146986,2.74821189393757,35.222,1.89814402321599,42985142.0,29.9,48.3,27.9,82.4
UGA,2023,51.9894907183446,2.56105027176925,106.169578552246,24.0911102294922,128991.0,181019.0,12.0,53.3121795654297,7.0,1002.30913917142,242.65210951526,6.74801516641013,35.201,1.82463615657625,33764793.0,27.6,51.5,42.4,76.4
UKR,2023,100.0,5.14011001586914,92.7711634493634,84.6516335033103,144742.0,155113.0,11.0,89.2898788802165,11.0,5139.59814453125,65.1239834311357,19.8744638522736,5.625,-8.59317597954555,11517780.0,7.8,100.0,100.0,100.0
URY,2023,92.8,4.81125020980835,104.532465643859,119.105005958635,883.0,820.0,12.0,101.1690082913,12.0,23019.4221560046,19.3582504856588,3.41312548351563,9.871,-1.11579924735438,150974.0,5.5,100.0,100.0,100.0
USA,2023,99.07521057128906,5.42038011550903,96.9717330932617,97.4734878540039,448218.0,517634.0,12.0,95.743522644043,12.0,81032.262117545,36.8198061311277,3.59839135535658,10.7,0.635667133221232,67120224.0,5.5,100.0,100.0,100.0
UZB,2023,100.0,5.47287597270024,93.4888259225367,97.3839945834102,61295.0,69541.0,12.0,96.0921933647617,12.0,2878.96879292451,80.9084466129581,13.823039902276,26.465,1.99718728938561,17470884.0,12.7,100.0,100.0,100.0
VCT,2023,91.29000091552734,6.4582691706334,111.270698547363,125.381042480469,58.0,224.0,12.0,109.648559570312,12.0,10582.3656725229,259.802564102564,2.91400510607961,12.158,-0.959983325983503,52975.0,9.9,100.0,100.0,100.0
VEN,2023,96.3873328534025,0.0031300000846386,111.130409240723,97.229606628418,192258.0,207433.0,11.0,102.23681640625,11.0,3617.43594578269,32.0853171588912,367.889226487606,15.087,-0.0272440926124137,3042447.0,21.5,100.0,100.0,100.0
VGB,2023,90.29997253417967,3.1728401184082,87.3165618448637,70.4463994786575,208.0,233.0,12.0,80.8411214953271,12.0,7424.75821321022,259.9,5.28960958581624,8.332,-0.16755745650679,17293.0,11.6,100.0,100.0,100.0
VNM,2023,87.5381163091741,2.88738689372749,105.170807361038,93.4123434096522,105509.0,6253.0,5.0,100.779516746248,9.0,4323.35031982451,320.175197572656,2.09339091583757,13.831,-0.264917387762499,62088011.0,14.0,99.8,99.8,100.0
VUT,2023,70.54322814941406,7.58135986328125,113.170782080259,134.670675170038,601.000005722046,805.999822616577,12.0,116.128610667961,0.0,3482.61458237637,26.2845775225595,6.97212370754437,28.05,2.31059586023381,249069.0,14.2,61.6,54.0,87.5
WSM,2023,94.5463236911827,6.1096302676416,101.617020641348,87.3532286947715,719.999700546265,526.001352310181,8.0,98.8477625324381,8.0,4822.74084650019,77.9363309352518,6.82968887914544,25.401,0.64827228742237,178744.0,12.8,100.0,100.0,100.0
YEM,2023,45.51358032226563,5.15143013000488,76.9753799438477,43.6906890869141,863289.0,688200.0,9.0,60.1439094543457,9.0,633.887202451545,74.6080250771824,14.8536647600461,35.209,2.61931794087608,24985269.0,34.7,83.6,75.3,96.1
ZAF,2023,87.6258773803711,6.12346982955933,101.772235793474,104.133480684239,218959.0,229187.0,12.0,95.3327484577974,9.0,6034.27208964673,52.1085690262058,4.72230243263523,18.775,1.03827472938905,23020452.0,24.4,87.7,94.0,90.9
ZMB,2023,60.81071853637695,4.07374933049157,98.7950035279193,20.3026103973389,229960.0,263055.0,7.0,81.8270884471825,7.0,1330.72780576709,27.8776483407095,7.09462960303757,33.081,2.01537010106656,11392257.0,30.9,51.1,17.6,89.9
ZWE,2023,75.00122833251953,0.384771297211919,93.2383787742938,52.4158515930176,127695.0,161725.0,12.0,85.2029321232507,7.0,2195.22492079245,42.24071862479,768.477177864533,30.41,0.715777308024943,9920197.0,40.6,62.0,51.4,84.0
